lat lon wh tt qc back ws
-17.12671 147.38269 0.79600006 8680.719440827495 1.0 12.179999 4.72
-17.176226 147.4026 0.79600006 8680.719452582416 1.0 12.2 4.68
-17.225737 147.42253 0.94200003 8680.719464518246 1.0 12.25 4.5899997
-17.275246 147.44247 1.268 8680.719476273167 1.0 12.29 4.5099998
-17.32475 147.46243 0.707 8680.719488028088 1.0 12.32 4.46
-17.374252 147.4824 0.573 8680.719499963801 1.0 12.38 4.35
-17.423752 147.50238 1.0090001 8680.719511718722 1.0 12.4 4.3199997
-17.473248 147.52238 0.92600006 8680.719523473643 1.0 12.36 4.39
-17.52274 147.54239 0.776 8680.719535228563 1.0 12.33 4.44
-17.57223 147.56241 0.92700005 8680.719547164394 1.0 12.36 4.39
-17.621716 147.58244 0.85300004 8680.719558919314 1.0 12.429999 4.27
-17.720678 147.62256 0.87600005 8680.719582609949 1.0 12.53 4.11
-17.770155 147.64262 0.56600004 8680.71959436487 1.0 12.509999 4.14
-17.819628 147.66272 0.526 8680.71960611979 1.0 12.509999 4.14
-17.869097 147.68282 0.71400005 8680.71961787471 1.0 12.5 4.15
-17.918564 147.70293 0.71500003 8680.719629810425 1.0 12.469999 4.2
-17.968025 147.72305 0.642 8680.719641565345 1.0 12.469999 4.2
-17.951172 147.08533 1.628 8689.104302933323 1.0 11.389999 6.7
-17.901714 147.10545 1.233 8689.104314733413 1.0 11.4 6.66
-17.852255 147.12555 1.176 8689.104326556204 1.0 11.38 6.73
-17.802792 147.14565 1.4230001 8689.104338356294 1.0 11.41 6.6299996
-17.753325 147.16573 1.2490001 8689.104350156384 1.0 11.3 6.98
-17.703854 147.18579 1.263 8689.10436195659 1.0 11.309999 6.95
-17.65438 147.20584 1.608 8689.104373779264 1.0 11.25 7.1499996
-17.604904 147.22588 1.5100001 8689.10438557947 1.0 11.25 7.1499996
-17.555426 147.2459 1.5870001 8689.10439737956 1.0 11.19 7.3599997
-17.505941 147.26591 1.2700001 8689.104409202351 1.0 11.16 7.46
-17.456455 147.2859 1.373 8689.104421002441 1.0 11.19 7.3599997
-17.406965 147.3059 1.3410001 8689.104432802531 1.0 11.21 7.29
-17.357473 147.32587 1.144 8689.104444625322 1.0 11.219999 7.25
-17.307978 147.34583 1.1120001 8689.104456425412 1.0 11.23 7.22
